Timestamp,Date,CRASH TIME ,BOROUGH ,ZIP CODE ,LATITUDE ,LONGITUDE ,LOCATION,ON STREET NAME ,CROSS STREET NAME ,OFF STREET NAME ,NUMBER OF PERSONS INJURED ,NUMBER OF PERSONS KILLED ,NUMBER OF PEDESTRIANS INJURED ,NUMBER OF PEDESTRIANS KILLED ,NUMBER OF CYCLIST INJURED ,NUMBER OF CYCLIST KILLED ,NUMBER OF MOTORIST INJURED ,NUMBER OF MOTORIST KILLED ,CONTRIBUTING FACTOR VEHICLE 1 ,CONTRIBUTING FACTOR VEHICLE 2 ,COLLISION_ID ,VEHICLE TYPE CODE 1 ,VEHICLE TYPE CODE 2 ,VEHICLE TYPE CODE 3 ,VEHICLE TYPE CODE 4 
4/3/2021 11:00,4/3/2021,11:15,MANHATTAN,10169,40.754677,-73.975815,"(40.754677°, -73.975815°)",PARK AVENUE,EAST 46 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,4404827,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
4/3/2021 6:00,4/3/2021,6:00,,,40.845886,-73.915085,"(40.845886°, -73.915085°)",INWOOD AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4404011,Taxi,Sedan,,
4/3/2021 16:00,4/3/2021,16:00,,,40.83968,-73.929276,"(40.83968°, -73.929276°)",MAJOR DEEGAN EXPRESSWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4404831,Dump,Sedan,,
4/3/2021 7:00,4/3/2021,7:34,BROOKLYN,11208,40.680244,-73.885704,"(40.680244°, -73.885704°)",,,201 CLEVELAND STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4404612,Dump,Sedan,,
4/3/2021 0:00,4/3/2021,0:00,QUEENS,11428,40.717968,-73.749016,"(40.717968°, -73.749016°)",,,93-34 HOLLIS COURT BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,,4404099,Station Wagon/Sport Utility Vehicle,,,
4/3/2021 20:00,4/3/2021,20:40,BROOKLYN,11208,40.679314,-73.871,"(40.679314°, -73.871°)",,,388 CRESCENT STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4404601,Pick-up Truck,Sedan,,
4/3/2021 20:00,4/3/2021,20:00,BRONX,10465,40.83018,-73.83265,"(40.83018°, -73.83265°)",BRUCKNER BOULEVARD,HUNTINGTON AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4404122,Sedan,Sedan,,
4/3/2021 22:00,4/3/2021,22:04,BROOKLYN,11213,40.667755,-73.93016,"(40.667755°, -73.93016°)",,,1742 UNION STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4404096,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4/3/2021 23:00,4/3/2021,23:14,,,40.769737,-73.91244,"(40.769737°, -73.91244°)",ASTORIA BOULEVARD,37 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4404835,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
4/3/2021 13:00,4/3/2021,13:50,,,40.785244,-73.84118,"(40.785244°, -73.84118°)",14 AVENUE,127 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4404076,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
